rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id
65,"Sparks
Coldplay",30,54.0,40,12292423,Sparks,Coldplay,227093,False,False,2000-07-10,4gzpq5DPGxSnKTe4SA8HAU,7D0RhFcb3CrfPuTJ0obrod
66,"LA VILLA
Ryan Castro, Kapo, Gangsta",47,52.0,8,12264278,LA VILLA,"Ryan Castro, Kapo, Gangsta",192111,True,False,2025-10-23,7j6DKwmjbxvpQO8h914uEz,2ZyrAym0sRLwt4PhGotHuI
67,"As It Was
Harry Styles",1,81.0,10,12147204,As It Was,Harry Styles,167303,False,False,2022-05-20,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e
68,"APT.
ROSÉ, Bruno Mars",1,63.0,72,12123491,APT.,"ROSÉ, Bruno Mars",169917,False,False,2024-10-18,3eVa5w3URK5duf6eyVDbu9,5vNRhkKd0yEAg8suGBpjeY
69,"White Keys
Dominic Fike",69,178.0,2,12031641,White Keys,Dominic Fike,144101,False,False,2025-11-14,6USv9qhCn6zfxlBQIYJ9qs,5ViLKrbyL3HD6wsq3AB9eI
70,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",9,49.0,8,12023336,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",235336,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,7d6yK8v8J484SWH5prIQiE
71,"Lose Control
Teddy Swims",5,64.0,121,11961040,Lose Control,Teddy Swims,210688,False,False,2023-09-15,33qOK5uJ8AR2xuQQAhHump,17phhZDn6oGtzMe56NuWvj
72,"Feel Good Inc.
Gorillaz, De La Soul",46,82.0,31,11811702,Feel Good Inc.,"Gorillaz, De La Soul",222640,False,False,2005-05-23,3AA28KZvwAUcZuOKwyblJQ,0d28khcov6AiegSCpG5TuT
73,"All The Stars (with SZA) - From ""Black Panther: The Album""
Kendrick Lamar, SZA",2,65.0,67,11794881,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",232186,True,False,2018-02-09,2YZyLoL8N0Wb9xBt1NhZWg,3GCdLUSnKSMJhs4Tj6CV3s
74,"Riptide
Vance Joy",30,72.0,166,11727269,Riptide,Vance Joy,204280,False,False,2014-08-05,10exVja0key0uqUkk6LJRT,2uXlHCUbq9OMUwx3hrk06o
75,"505
Arctic Monkeys",43,68.0,114,11632654,505,Arctic Monkeys,253586,False,False,2007-04-24,7Ln80lUS6He07XvHI8qqHH,58ge6dfP91o9oXMzq3XkIS
76,"Who Knows
Daniel Caesar",58,60.0,15,11563110,Who Knows,Daniel Caesar,226283,False,False,2025-10-24,20wkVLutqVOYrc0kxFs7rA,6DH13QYXK7lKkYHSU88N48
77,"undressed
sombr",6,75.0,49,11497773,undressed,sombr,182088,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,0TFTAtCYhp2tQ9KcJIZb55
78,"Why You Wanna Fight?
Bruno Mars",78,,1,11492627,Why You Wanna Fight?,Bruno Mars,254360,False,False,2026-02-27,0du5cEVh5yTK9QJze8zA0C,3Ac4AjYkqsvop2ydbSAhTX
79,"Fame is a Gun
Addison Rae",56,74.0,10,11438050,Fame is a Gun,Addison Rae,183237,False,False,2025-06-06,4gvjmrtzydbMpyJaXUtwvP,7B3BwNecBhKvNwSMOOl7Gk
80,"Ya Borracho
Herencia De Grandes",66,69.0,15,11367657,Ya Borracho,Herencia De Grandes,158074,False,False,2025-11-07,0ocHleb3SllGNQQcDH35Xz,4NyUIohBa3CEMGcXURYSOh
81,"In the End
Linkin Park",22,121.0,50,11366387,In the End,Linkin Park,216880,False,False,2000-10-24,6XyY86QOPPrYVGvF9ch6wz,60a0Rd6pjrkxjPbaKzXjfq
